DATE,DFF
2000-01-01,5.4483870967741935
2000-02-01,5.7348275862068966
2000-03-01,5.8535483870967742
2000-04-01,6.0196666666666667
2000-05-01,6.2680645161290323
2000-06-01,6.5283333333333333
2000-07-01,6.5445161290322581
2000-08-01,6.4967741935483871
2000-09-01,6.5170000000000000
2000-10-01,6.5093548387096774
2000-11-01,6.5143333333333333
2000-12-01,6.4022580645161290
2001-01-01,5.9758064516129032
2001-02-01,5.4942857142857143
2001-03-01,5.3109677419354839
2001-04-01,4.8020000000000000
2001-05-01,4.2122580645161290
2001-06-01,3.9696666666666667
2001-07-01,3.7690322580645161
2001-08-01,3.6525806451612903
2001-09-01,3.0690000000000000
2001-10-01,2.4851612903225806
2001-11-01,2.0870000000000000
2001-12-01,1.8177419354838710
2002-01-01,1.7296774193548387
2002-02-01,1.7396428571428571
2002-03-01,1.7300000000000000
2002-04-01,1.7530000000000000
2002-05-01,1.7512903225806452
2002-06-01,1.7503333333333333
2002-07-01,1.7290322580645161
2002-08-01,1.7432258064516129
2002-09-01,1.7506666666666667
2002-10-01,1.7548387096774194
2002-11-01,1.3360000000000000
2002-12-01,1.2383870967741935
2003-01-01,1.2351612903225806
2003-02-01,1.2621428571428571
2003-03-01,1.2529032258064516
2003-04-01,1.2580000000000000
2003-05-01,1.2590322580645161
2003-06-01,1.2226666666666667
2003-07-01,1.01129032258064516129
2003-08-01,1.02903225806451612903
2003-09-01,1.01000000000000000000
2003-10-01,1.01000000000000000000
2003-11-01,0.99600000000000000000
2003-12-01,0.98419354838709677419
2004-01-01,0.99709677419354838710
2004-02-01,1.00724137931034482759
2004-03-01,1.00161290322580645161
2004-04-01,1.00400000000000000000
2004-05-01,1.00451612903225806452
2004-06-01,1.02566666666666666667
2004-07-01,1.2635483870967742
2004-08-01,1.4293548387096774
2004-09-01,1.6050000000000000
2004-10-01,1.7609677419354839
2004-11-01,1.9320000000000000
2004-12-01,2.1561290322580645
2005-01-01,2.2793548387096774
2005-02-01,2.5017857142857143
2005-03-01,2.6290322580645161
2005-04-01,2.7850000000000000
2005-05-01,3.0025806451612903
2005-06-01,3.0356666666666667
2005-07-01,3.2625806451612903
2005-08-01,3.4996774193548387
2005-09-01,3.6230000000000000
2005-10-01,3.7793548387096774
2005-11-01,3.9990000000000000
2005-12-01,4.1570967741935484
2006-01-01,4.2851612903225806
2006-02-01,4.4914285714285714
2006-03-01,4.5893548387096774
2006-04-01,4.7903333333333333
2006-05-01,4.9403225806451613
2006-06-01,4.9910000000000000
2006-07-01,5.2351612903225806
2006-08-01,5.2464516129032258
2006-09-01,5.2546666666666667
2006-10-01,5.2451612903225806
2006-11-01,5.2456666666666667
2006-12-01,5.2380645161290323
2007-01-01,5.2483870967741935
2007-02-01,5.2589285714285714
2007-03-01,5.2567741935483871
2007-04-01,5.2496666666666667
2007-05-01,5.2535483870967742
2007-06-01,5.2540000000000000
2007-07-01,5.2583870967741935
2007-08-01,5.0222580645161290
2007-09-01,4.9380000000000000
2007-10-01,4.7554838709677419
2007-11-01,4.4866666666666667
2007-12-01,4.2445161290322581
2008-01-01,3.9403225806451613
2008-02-01,2.9806896551724138
2008-03-01,2.6103225806451613
2008-04-01,2.2783333333333333
2008-05-01,1.9783870967741935
2008-06-01,2.0010000000000000
2008-07-01,2.0096774193548387
2008-08-01,1.9964516129032258
2008-09-01,1.8116666666666667
2008-10-01,0.96935483870967741935
2008-11-01,0.38766666666666666667
2008-12-01,0.15516129032258064516
2009-01-01,0.15419354838709677419
2009-02-01,0.22214285714285714286
2009-03-01,0.18064516129032258065
2009-04-01,0.15033333333333333333
2009-05-01,0.17741935483870967742
2009-06-01,0.20633333333333333333
2009-07-01,0.15580645161290322581
2009-08-01,0.16032258064516129032
2009-09-01,0.14666666666666666667
2009-10-01,0.11806451612903225806
2009-11-01,0.11900000000000000000
2009-12-01,0.11806451612903225806
2010-01-01,0.11000000000000000000
2010-02-01,0.12642857142857142857
2010-03-01,0.16451612903225806452
2010-04-01,0.19833333333333333333
2010-05-01,0.20064516129032258065
2010-06-01,0.17666666666666666667
2010-07-01,0.18258064516129032258
2010-08-01,0.18935483870967741935
2010-09-01,0.19466666666666666667
2010-10-01,0.19129032258064516129
2010-11-01,0.19433333333333333333
2010-12-01,0.18322580645161290323
2011-01-01,0.16838709677419354839
2011-02-01,0.15678571428571428571
2011-03-01,0.13870967741935483871
2011-04-01,0.09800000000000000000
2011-05-01,0.09387096774193548387
2011-06-01,0.09200000000000000000
2011-07-01,0.07096774193548387097
2011-08-01,0.09580645161290322581
2011-09-01,0.08400000000000000000
2011-10-01,0.07064516129032258065
2011-11-01,0.08100000000000000000
2011-12-01,0.07161290322580645161
2012-01-01,0.08193548387096774194
2012-02-01,0.10379310344827586207
2012-03-01,0.12677419354838709677
2012-04-01,0.13933333333333333333
2012-05-01,0.15580645161290322581
2012-06-01,0.16166666666666666667
2012-07-01,0.15645161290322580645
2012-08-01,0.13225806451612903226
2012-09-01,0.14433333333333333333
2012-10-01,0.15838709677419354839
2012-11-01,0.16066666666666666667
2012-12-01,0.16451612903225806452
2013-01-01,0.14258064516129032258
2013-02-01,0.14500000000000000000
2013-03-01,0.14354838709677419355
2013-04-01,0.14500000000000000000
2013-05-01,0.10903225806451612903
2013-06-01,0.09366666666666666667
2013-07-01,0.09258064516129032258
2013-08-01,0.08290322580645161290
2013-09-01,0.08000000000000000000
2013-10-01,0.08709677419354838710
2013-11-01,0.08433333333333333333
2013-12-01,0.08516129032258064516
2014-01-01,0.07161290322580645161
